"rank","A","B","C","D","E"
1,1,1,1,1,1
2,0.543255813953488,0.315384615384615,0.616591928251121,0.39202657807309,0.369214208826695
3,0.40093023255814,0.144230769230769,0.463378176382661,0.30343300110742,0.181916038751346
4,0.267906976744186,0.0836538461538461,0.366218236173393,0.231450719822813,0.0742734122712594
5,0.183255813953488,0.0625,0.273542600896861,0.172757475083056,0.0581270182992465
6,0.122790697674419,0.0451923076923077,0.195814648729447,0.116279069767442,0.0441334768568353
7,0.0874418604651163,0.0355769230769231,0.121076233183857,0.0786267995570321,0.0322927879440258
8,0.0623255813953488,0.0269230769230769,0.0852017937219731,0.0409745293466224,0.0215285252960172
9,0.0427906976744186,0.0192307692307692,0.0568011958146487,0.0276854928017719,0.0129171151776103
10,0.0241860465116279,0.0125,0.0298953662182362,0.0155038759689922,0.00645855758880517
11,0.012093023255814,0.00673076923076923,0.00597907324364723,0.00664451827242525,0.00107642626480086
12,0.00465116279069767,0.00288461538461538,0.00298953662182362,0.00221483942414175,0
