"rank","A","B","C","D","E"
1,1,1,1,1,1
2,0.87906976744186,0.854807692307692,0.83034379671151,0.84828349944629,0.855758880516685
3,0.761860465116279,0.736538461538462,0.721973094170404,0.739756367663344,0.734122712594187
4,0.644651162790698,0.624038461538462,0.615844544095665,0.638981173864895,0.632938643702906
5,0.536744186046512,0.529807692307692,0.511210762331839,0.539313399778516,0.539289558665231
6,0.436279069767442,0.4375,0.414050822122571,0.440753045404208,0.446716899892357
7,0.336744186046512,0.349038461538462,0.32660687593423,0.35437430786268,0.355220667384284
8,0.252093023255814,0.261538461538462,0.243647234678625,0.272425249169435,0.266953713670614
9,0.177674418604651,0.190384615384615,0.174140508221226,0.193798449612403,0.196986006458558
10,0.113488372093023,0.125,0.105381165919283,0.120708748615725,0.135629709364909
11,0.052093023255814,0.0644230769230769,0.0523168908819133,0.062015503875969,0.077502691065662
12,0.0027906976744186,0.00961538461538462,0.0254110612855007,0.00332225913621262,0.031216361679225
