"eventtime","A","B","C","D","E","F","G","H","I","J","K","L"
0.0914913083257091,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
0.182982616651418,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
0.274473924977127,2290.26491005599,2200,2200,2200,2200,2200,2200,2200,2088.10710947312,2200,2200,2200
0.365965233302836,2348.7793392855,2200,2200,2200,2200,2200,2200,2200,2088.10710947312,2200,2200,2086.18759804321
0.457456541628545,2329.76220184469,2200,2200,2200,2253.07841852412,2200,2200,2200,2088.10710947312,2200,2200,2086.18759804321
0.548947849954254,2379.26465518258,2200,2200,2200,2162.90236804142,2200,2200,2200,2088.10710947312,2200,2200,2086.18759804321
0.640439158279963,2379.26465518258,2200,2200,2200,2091.43841338108,2200,2200,2200,2088.10710947312,2200,2329.90352666228,2086.18759804321
0.731930466605673,2379.26465518258,2200,2200,2200,2054.15119715168,2200,2200,2200,2088.10710947312,2200,2384.8570173223,2086.18759804321
0.823421774931381,2379.26465518258,2200,2200,2200,2099.73657872209,2200,2200,2200,2088.10710947312,2200,2315.69953494174,2086.18759804321
0.914913083257091,2379.26465518258,2200,2200,2200,2129.94180732565,2200,2200,2200,2088.10710947312,2200,2272.80025545155,2086.18759804321
1.0064043915828,2379.26465518258,2200,2200,2200,2149.17701917779,2200,2200,2200,2088.10710947312,2200,2247.18467623593,2086.18759804321
1.09789569990851,2379.26465518258,2200,2200,2200,2149.17701917779,2200,2200,2200,2088.10710947312,2071.97270516479,2294.94911367956,2086.18759804321
1.18938700823422,2379.26465518258,2200,2200,2200,2167.67495772824,2200,2200,2200,2088.10710947312,2071.97270516479,2274.20018311556,2086.18759804321
1.28087831655993,2379.26465518258,2200,2200,2200,2167.67495772824,2200,2200,2021.36430515545,2088.10710947312,2071.97270516479,2274.20018311556,2209.67040000098
1.37236962488564,2379.26465518258,2061.66635954061,2200,2200,2167.67495772824,2200,2200,2021.36430515545,2088.10710947312,2071.97270516479,2274.20018311556,2290.87738414349
1.46386093321135,2379.26465518258,2061.66635954061,2200,2200,2167.67495772824,2080.58355223927,2200,2021.36430515545,2088.10710947312,2071.97270516479,2309.92481783459,2290.87738414349
1.55535224153705,2379.26465518258,2061.66635954061,2200,2200,2167.67495772824,2080.58355223927,2200,2105.16903527197,2088.10710947312,2071.97270516479,2285.52125191634,2290.87738414349
1.64684354986276,2364.8427623049,2061.66635954061,2200,2200,2167.67495772824,2080.58355223927,2200,2105.16903527197,2088.10710947312,2071.97270516479,2295.72790190332,2290.87738414349
1.73833485818847,2364.8427623049,2061.66635954061,2200,2200,2167.67495772824,2080.58355223927,2200,2105.16903527197,2088.10710947312,2016.82448783613,2314.93245558805,2290.87738414349
1.82982616651418,2364.8427623049,2135.49318018658,2200,2200,2167.67495772824,2080.58355223927,2200,2105.16903527197,2088.10710947312,2016.82448783613,2297.24125045476,2290.87738414349
1.92131747483989,2364.8427623049,2129.27352867624,2200,2200,2167.67495772824,2080.58355223927,2200,2111.82521495485,2088.10710947312,2016.82448783613,2297.24125045476,2290.87738414349
2.0128087831656,2364.8427623049,2129.27352867624,2087.9770295545,2200,2167.67495772824,2080.58355223927,2200,2111.82521495485,2088.10710947312,2016.82448783613,2320.78927302177,2290.87738414349
2.10430009149131,2364.8427623049,2129.27352867624,2087.9770295545,2200,2167.67495772824,2080.58355223927,2200,2111.82521495485,2088.10710947312,1983.63996015812,2332.98414795174,2290.87738414349
